Дата публикации;Статус;ФЗ;Проект;Способ закупки;URL;Организатор;ИНН;Менеджер компании;СМП;Название;Комментарий;ПО, Бренд;ПО, шт;Терминал, Бренд;БТ, шт;Видео, бренд;Видео, шт;ДУТ, Бренд;ДУТ, шт;Регион;Сделок в АМО;Участники;Победитель
24 сентября 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/16277106;"Публичное акционерное общество ""Бурятнефтепродукт""";0323031768;;Нет;Услуги по обслуживанию оборудования, диагностика оборудования, услуги по установке / замене оборудования, круглосуточная поддержка посредством HelpDesk (АСН, GPS/Glonass - трекеры, датчики уровня топлива (ДУТ), универсальные датчики CAN-LOG (опционально), тревожные кнопки (опционально);Сервис. Установлен зоопарк.;Другое;78;;;;;;;Республика Бурятия;;;
24 сентября 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/16277475;"Публичное акционерное общество ""Бурятнефтепродукт""";0323031768;;Нет;Оснащение транспортных средств АО «Бурятнефтепродукт» аппаратурой спутниковой навигации (АСН) АО ГЛОНАСС;Агент в Бурятии;;;АСН;6;;;;;Республика Бурятия;;;
24 сентября 2025 г.;Не участвуем;ГК;СМТ;Запрос предложений;https://www.b2b-center.ru/market/view.html?id=4178955&utm_source=seldon&utm_medium=referral&utm_campaign=ref_id;"ООО УК ""МЕТАЛЛОИНВЕСТ""";5018108484;Миронов М.;Нет;"Закупка услуг по оснащению транспортных средств категорий М2, М3 и транспортных средств категории N, используемых для перевозки опасных грузов, аппаратурой спутниковой навигации и передачу данных в Государственную автоматизированную информационную систему ""ЭРА-ГЛОНАСС"" в 2026 году. для АО «Лебединский ГОК""";;АСМ ЭРА;15;АСН;15;;;;;Москва;5;;
24 сентября 2025 г.;Не участвуем;ГК;СМТ+Тах;Запрос котировок;https://www.tektorg.ru/market/procedures/16247712;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАМБОВНЕФТЕПРОДУКТ""";6831004608;;Нет;Сервисное обслуживание оборудования ГЛОНАСС и Тахографов;только сервис. Нет количества ТС;;;;;Другое;25;;;Тамбовская область;1;;
24 сентября 2025 г.;Не участвуем;ГК;СМТ+Тах;Запрос котировок;https://www.tektorg.ru/market/procedures/16278753;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОМСКНЕФТЕПРОДУКТ"" ВОСТОЧНОЙ НЕФТЯНОЙ КОМПАНИИ";7017004060;Зимовская Е.;Нет;Оказание услуг по сервисному обслуживанию технических средств контроля транспортных средств;сервис с допоставкой. Агент АОГ, офис в г. Губкин или Старый Оскол. Плюс тахография;;;Омникомм;1;;;Омникомм;1;Томская область;2;;
24 сентября 2025 г.;Не участвуем;ГК;ТМ;Запрос котировок;https://www.tektorg.ru/market/procedures/16241489;"Публичное акционерное общество ""Туланефтепродукт""";7107036789;Буймистр Н.;Нет;Оказание услуг по проведению предрейсовых и послерейсовых медицинских осмотров работников с применением программно-аппаратных комплексов;10791 МО, 2 ПАК, 1 год;;;;;;;;;Тульская область;2;;
24 сентября 2025 г.;Не участвуем;ГК;ТМ;Прочее;https://www.tektorg.ru/rosnefttkp/procedures/16272790;"ООО ""РН-КРАСНОЯРСКНИПИНЕФТЬ""";2465214545;;Нет;Предоставление медицинских услуг по проведению предрейсовых/послерейсовых медицинских осмотров с применением аппаратно-программных комплексов, обеспечивающих автоматизированную дистанционную передачу информации о состоянии здоровья работников и дистанционный контроль состояния их здоровья;2920 осмотров, 1 год, 1 ПАК;;;;;;;;;Красноярский край;;;
24 сентября 2025 г.;Не участвуем;СНГ;СМТ;Конкурс;https://goszakup.gov.kz/ru/announce/index/15417122;"001140000590 Товарищество с ограниченной ответственностью ""КАЖсервис""";001140000590;;Нет;Работы по монтажу/внедрению автоматизированных систем управления/контроля/мониторинга/учета/диспетчеризации (GPS оборудование);;Омникомм;431;Другое;431;;;Другое;447;Республика Казахстан;;;
25 сентября 2025 г.;Не участвуем;223;ТМ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18812363;"ПАО ""РОССЕТИ""";4716016979;Семеренко И.;Нет;"Оказание услуг по проведению дистанционных предрейсовых и послерейсовых медицинских осмотров автоматизированными терминалами работников филиала ПАО ""Россети"" - Южное ПМЭС в 2026-2028 гг.";6 ПАК;;;;;;;;;Москва;3;;
25 сентября 2025 г.;Не участвуем;ГК;СМТ;Прочее;https://www.roseltorg.ru/procedure/COM24092500154;"Общество с ограниченной ответственностью ""ТНС энерго Великий Новгород""";7715825806;;Нет;Запрос ценовой информации в электронной форме для получения ценовых предложений на оказание услуг по мониторингу транспорта ООО «ТНС энерго Великий Новгород»;;Общие требования;27;;;;;;;Москва;;;
